criterion	onset_thresh	frame_thresh	COn_f1	COnP_f1	COnPOff_f1	COn_plus_COnP	sum_all
best_COn	0.45	0.45	0.817586998	0.801990890	0.512721836	1.619577888	2.132299724
best_COnP	0.45	0.50	0.817416451	0.802106571	0.529928459	1.619523022	2.149451482
best_COnPOff	0.45	0.80	0.804297168	0.794578737	0.590847347	1.598875905	2.189723252
best_COn_plus_COnP	0.45	0.45	0.817586998	0.801990890	0.512721836	1.619577888	2.132299724
best_COn_plus_COnP_plus_COnPOff	0.45	0.75	0.809174160	0.798195506	0.588061150	1.607369666	2.195430816
